#name      threshold
SRR791062  10
SRR791063  10
SRR791064  10
SRR791065  10
SRR791066  10
SRR791067  10
SRR791068  10
SRR791069  10
SRR791070  10
SRR791071  10
SRR791072  10
SRR791073  10
SRR791074  20
SRR791578  10
SRR791579  20
SRR791580  10
SRR791581  10
SRR791582  20
SRR791583  10
SRR791584  10
SRR791585  10
SRR791586  10
SRR805725  3
SRR805726  3
SRR805727  3
SRR805728  3
SRR805729  3
SRR805730  3
SRR805731  3
SRR805732  3
SRR805733  3
SRR805734  3
SRR805735  3
SRR805736  3
SRR805737  10
SRR805738  3
SRR805739  3
SRR805740  3
SRR805741  3
SRR805742  3
SRR805743  3
SRR805744  3
SRR805745  3
SRR805746  3
SRR805747  3
SRR805748  3
SRR805749  3
SRR805750  1
SRR805751  3
SRR805752  1
SRR805753  1
SRR805754  3
SRR805755  1
SRR805756  1
SRR805757  3
SRR805758  3
SRR805759  3
SRR805760  3
SRR805761  3
SRR805762  3
SRR805763  3
SRR805764  3
SRR805765  3
SRR805766  3
SRR805767  1
SRR805768  3
SRR805769  3
SRR805770  3
SRR805771  3
SRR805772  3
SRR805773  3
SRR805774  3
SRR805775  3
SRR805776  3
SRR805777  3
SRR805778  3
SRR805779  3
SRR805780  3
SRR805781  3
SRR805782  3
SRR805783  3
SRR805784  3
SRR805785  3
SRR805786  3
SRR805787  3
SRR805788  3
SRR805789  3
SRR805790  3
SRR805791  3
SRR805792  10
SRR805793  3
SRR805794  3
SRR805795  3
SRR805796  3
SRR805797  10
SRR805798  3
SRR805799  3
SRR805800  3
SRR805801  3
SRR805802  3
SRR805803  3
SRR805804  3
SRR805805  3
SRR805806  3
SRR805807  3
SRR805808  3
SRR805809  3
SRR805810  3
SRR805811  3
SRR805812  3
SRR805813  3
SRR805814  3
SRR805815  3
SRR805816  3
SRR805817  3
SRR805818  3
SRR805819  3
SRR805820  3
SRR805821  3
SRR805822  3
SRR805823  3
SRR805824  10
SRR805825  3
SRR805826  3
SRR805827  3
SRR805828  1
SRR805829  3
SRR805830  3
SRR805831  3
SRR805832  3
SRR805833  3
SRR805834  3
SRR805877  20
SRR805878  20
SRR805879  20
SRR805880  20
SRR805881  20
SRR805882  20
SRR805883  20
SRR805884  20
SRR805885  20
SRR805886  20
SRR805887  20
SRR805888  20
SRR805889  20
SRR805890  20
SRR808400  20
SRR808401  20
SRR808402  10
SRR808403  20
SRR808404  20
SRR808405  20
SRR816998  10
SRR816999  10
SRR817000  10
SRR817001  10
SRR817002  20
SRR817003  10
SRR827457  20
SRR827458  20
SRR827459  20
SRR827460  20
SRR827461  20
SRR827462  20
SRR827463  10
SRR827464  10
SRR827465  10
SRR827466  20
SRR827467  10
SRR827468  10
SRR827469  10
SRR827470  10
SRR827471  10
SRR827472  20
SRR827473  10
SRR827474  10
SRR827475  10
SRR827476  10
SRR827477  20
SRR827478  20
SRR827479  20
SRR827480  20
SRR827481  20
SRR827482  20
SRR827483  20
SRR827484  20
SRR827485  20
SRR827486  20
SRR833713  1
SRR833714  1
SRR833715  1
SRR836285  10
SRR836286  20
SRR836287  10
SRR836288  20
SRR836289  10
SRR837437  1
SRR837438  1
SRR837439  1
SRR837440  1
SRR837441  1
SRR837442  1
SRR837443  1
SRR837444  1
SRR837445  1
SRR837446  1
SRR837447  1
SRR837448  1
SRR837449  1
SRR837450  1
SRR837451  1
SRR837452  1
SRR837453  1
SRR837454  1
SRR837455  1
SRR837456  1
SRR837457  1
SRR837458  1
SRR837459  3
SRR837460  1
SRR837461  1
SRR837462  1
SRR837463  1
SRR837464  1
SRR837465  1
SRR837466  1
SRR837467  1
SRR837468  1
SRR837469  1
SRR837470  1
SRR837471  1
SRR837472  1
SRR837473  1
SRR837474  1
SRR837475  1
SRR837476  1
SRR837477  1
SRR837478  1
SRR837479  1
SRR837480  1
SRR837481  1
SRR837482  1
SRR837483  1
SRR837484  1
SRR837485  1
SRR837486  1
SRR837487  1
SRR837488  1
SRR837489  1
SRR837490  1
SRR837491  1
SRR837492  1
SRR837493  1
SRR837494  1
SRR837495  1
SRR837496  1
SRR837497  1
SRR837498  1
SRR837499  10
SRR837500  3
SRR837501  1
SRR837502  1
SRR837503  1
SRR837504  1
SRR837505  1
SRR837506  3
SRR846935  10
SRR846936  10
SRR846937  20
SRR846938  20
SRR846939  20
SRR846940  10
SRR846941  10
SRR846942  20
SRR846943  20
SRR846944  20
SRR846945  20
SRR846946  20
SRR846947  10
SRR846948  20
SRR846949  20
SRR846950  10
SRR846951  20
SRR846952  20
SRR846953  20
SRR846954  20
SRR846955  20
SRR846956  20
SRR846957  20
SRR846958  20
SRR846959  20
SRR847514  10
SRR847515  10
SRR847516  10
SRR847517  10
SRR863546  1
SRR863547  3
SRR867127  10
SRR867128  10
SRR867129  10
SRR867130  10
SRR868806  1
SRR868807  1
SRR868808  1
SRR868809  1
SRR868810  3
SRR868811  1
SRR868812  1
SRR868813  1
SRR868814  1
SRR868815  1
SRR868816  1
SRR868817  1
SRR868818  1
SRR868819  1
SRR868820  1
SRR868821  1
SRR868822  1
SRR868823  1
SRR868824  1
SRR868825  1
SRR868826  1
SRR868827  1
SRR868828  1
SRR868829  1
SRR868830  1
SRR868831  1
SRR868832  1
SRR868833  1
SRR868834  1
SRR868835  1
SRR868836  1
SRR868837  1
SRR868838  1
SRR868839  1
SRR868840  1
SRR868841  1
SRR868842  1
SRR868843  1
SRR868844  1
SRR868845  1
SRR868846  1
SRR868847  1
SRR868848  1
SRR868849  1
SRR868850  1
SRR868851  1
SRR868852  3
SRR868853  3
SRR868854  3
SRR868855  3
SRR868856  3
SRR868857  3
SRR868858  3
SRR868859  3
SRR868860  3
SRR868861  3
SRR868862  3
SRR868863  3
SRR868864  3
SRR868865  3
SRR868866  1
SRR868867  3
SRR868868  1
SRR868869  1
SRR868870  1
SRR868871  1
SRR868872  3
SRR868873  3
SRR868874  1
SRR868875  1
SRR868876  3
SRR868877  3
SRR868878  3
SRR868879  1
SRR868880  10
SRR868881  3
SRR868882  3
SRR868883  3
SRR868884  3
SRR868885  3
SRR873382  3
SRR873383  3
SRR873384  3
SRR873385  3
SRR873386  3
SRR873387  3
SRR873388  3
SRR873389  3
SRR882017  20
SRR882028  1
SRR882029  1
SRR921934  50
SRR921935  50
SRR921936  50
SRR921937  50
SRR921938  50
SRR921939  41
SRR921940  50
SRR921941  50
SRR921942  50
SRR921943  50
SRR921944  50
SRR921945  50
SRR921946  20
SRR921947  20
SRR921948  20
SRR921949  20
SRR924258  10
SRR924259  10
SRR924260  10
SRR925687  20
SRR925688  20
SRR925689  20
SRR925690  20
SRR925691  20
SRR925692  20
SRR925693  10
SRR925694  20
SRR925695  20
SRR925696  20
SRR925697  20
SRR925698  20
SRR925699  20
SRR925700  20
SRR925701  20
SRR925702  20
SRR925703  20
SRR925704  20
SRR925705  20
SRR925706  20
SRR925707  20
SRR925708  20
SRR925709  20
SRR925710  20
SRR925711  20
SRR925713  20
SRR925714  20
SRR925715  20
SRR925716  20
SRR925717  20
SRR925718  20
SRR925719  20
SRR925720  20
SRR925721  20
SRR925723  20
SRR925724  20
SRR925725  20
SRR925726  20
SRR925727  20
SRR925728  20
SRR925729  20
SRR925734  20
SRR925735  20
SRR925736  20
SRR925737  20
SRR925740  20
SRR925741  20
SRR925742  20
SRR934631  10
SRR934632  20
SRR934633  20
SRR934634  10
SRR934635  20
SRR934636  10
SRR934637  20
SRR934638  20
SRR934639  20
SRR934640  20
SRR934641  20
SRR934642  10
SRR934643  20
SRR934644  10
SRR934645  20
SRR935375  20
SRR935376  20
SRR941562  3
SRR941563  3
SRR941565  3
SRR941566  10
SRR941567  10
SRR941568  10
SRR941569  3
SRR941570  3
SRR941571  3
SRR941572  3
SRR941573  1
SRR941574  1
SRR941575  1
SRR941576  3
SRR941577  3
SRR941578  3
SRR941579  3
SRR941580  3
SRR941581  3
SRR941582  3
SRR941583  20
SRR941584  10
SRR941585  3
SRR941586  3
SRR941587  10
SRR941588  1
